#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
2015157144 2083290105 6 932 32065 3 7
1009891836 3524390482 17 691 18502 3 3
3741302320 2230623091 6 197 59002 5 5
3716142731 2090572548 17 60 15324 1 1
3094690100 116024194 0 652 37274 6 6
2098909491 2076249069 17 104 55555 1 1
1989143655 2171850198 17 1452 46516 3 5
12040194 258722247 0 376 3442 4 4
58752128 270395651 23 2 15290 2 3
498651051 3920747795 23 1248 22981 6 6
204138621 220840601 23 1196 11086 2 2
3741187271 1027122919 6 68 2447 1 1
2873123073 257646975 0 0 35881 2 2
3715907888 1964181710 6 52 11942 3 3
3135174424 4131589701 23 1426 906 4 5
3660364463 1956212310 17 258 3274 3 3
130103984 121288890 23 633 20204 2 2
2936219586 189141514 0 157 12706 2 2
2861403683 503392719 23 869 32726 4 18
230404077 3763898831 23 195 14895 4 4
3516634552 1036527848 17 250 3948 3 3
1617049231 2081013709 17 1367 23479 3 2218
2098796040 1934743784 6 169 56656 1 1
1912526314 2081014569 17 60 12532 1 1
525911359 2830980122 23 918 51522 6 32
1912392667 1922854108 17 70 2130 3 3
87990322 2828700373 0 1634 12521 6 6
3391654340 3524339212 6 60 62217 1 1
2894328307 2704421152 23 227 31255 2 2
3716088356 2014816092 17 97 6886 3 3
2065351166 3679896323 6 74 23146 1 1
3516467217 3560373530 6 1200 1188 3 6
216272349 2693924037 0 0 17738 2 2
3716091754 2080959399 17 60 8971 1 1
216496474 3863553583 23 1328 8708 2 2
182779371 220937967 23 359 26315 2 2
3741148594 1703266369 17 241 37984 5 5
3732605592 1934677009 6 1496 20508 1 4
142980644 4022563987 0 239 21125 4 4
2690997743 151258077 23 232 17681 2 2
3528586166 1890922814 17 910 62397 5 14
2123974905 2093027041 17 422 57286 5 42
8835 202795249 0 248 13600 2 2
3713920874 2648458238 17 1850 48689 11 119
1912589632 3249740072 17 773 14721 3 3
2894266670 130699299 23 868 14434 2 2
1988169733 2015946573 6 1056 80 3 3
