#n_pkts	ahf.hh_are	chf.hh_are	ahf.hh_f1score	chf.hh_f1score
500000	0.0406922963902	0.0330629996798	0.981746656176	0.985020782684
1000000	0.14807955702	0.13500860403	0.928067363586	0.934269061496
1500000	0.236162445098	0.231374336504	0.880571573641	0.880238000218
2000000	0.303743516007	0.314927915613	0.841042141485	0.827357537942
2500000	0.355176594847	0.384958325915	0.809012739258	0.77863012985
3000000	0.394090127519	0.442738178813	0.783675830839	0.735006537763
3500000	0.423107635674	0.487675434049	0.764310637025	0.698551028979
4000000	0.448016080848	0.528668336137	0.747048435245	0.663012388195
4500000	0.467335140083	0.562185485522	0.733275568925	0.632193141193
5000000	0.481442834869	0.587836056784	0.723377164728	0.607843947597
5500000	0.494807499746	0.612543971541	0.713600112427	0.5834448924
6000000	0.506337469095	0.633950661622	0.705189561792	0.561450089354
6500000	0.516451334044	0.653079936794	0.697880923391	0.541136427838
7000000	0.524820781371	0.669599716815	0.691529628621	0.523074507135
7500000	0.532027858115	0.685327191347	0.686073914494	0.505371327623
8000000	0.538656056335	0.698837985135	0.6807649184	0.489724602712
8500000	0.544413645129	0.710890708086	0.676315307693	0.475476171479
9000000	0.548893125967	0.72141332326	0.67292539657	0.46279352626
9500000	0.553831163126	0.732104905907	0.668833164594	0.449698348021
10000000	0.558929661881	0.742071115423	0.664767052211	0.437301671652
10500000	0.563329684425	0.751341794681	0.661344276565	0.425576315482
11000000	0.567277070382	0.759744199127	0.658031501084	0.414703971221
11500000	0.570828077414	0.767402441909	0.655164468884	0.404630650496
12000000	0.574369428684	0.774532662713	0.652223843994	0.395088744083
12500000	0.57720394988	0.781256176076	0.649909591841	0.385915589243
13000000	0.580047133083	0.787637592396	0.647637734076	0.377213783497
13500000	0.58289614428	0.793461808373	0.645311741974	0.36918515654
14000000	0.585433435046	0.798847010134	0.643246261631	0.361738748593
14500000	0.588182288625	0.804099249114	0.640877954716	0.35438662093
15000000	0.590742337576	0.809093594414	0.638744481388	0.347228315426
15500000	0.592904972136	0.813647128293	0.636904176465	0.340709184858
16000000	0.59482697961	0.818087618283	0.635162533828	0.334249194491
16500000	0.596791818541	0.822080127519	0.633423470311	0.328396326313
17000000	0.598693845271	0.826112213496	0.63172015613	0.32237404361
17500000	0.600655982455	0.829928525417	0.629968350859	0.316666336496
18000000	0.602865170674	0.83385906175	0.627821489301	0.310751650961
18500000	0.605061554843	0.837413963573	0.625762977333	0.305322402957
19000000	0.607427631898	0.840957856762	0.623496211941	0.299862592827
19500000	0.609733571771	0.844279024137	0.621370604368	0.294706818985
20000000	0.611651916051	0.847533379589	0.619635971443	0.289673363416
