#depth alpha=0.5 alpha=0.6 alpha=0.7 alpha=0.8 alpha=0.9 alpha=1.0
1 0.632120311373 0.632120311373 0.632120311373 0.632120311373 0.632120311373 0.632120311373
2 0.772763319419 0.775277515419 0.775854193625 0.775186737891 0.773701980071 0.771674987932
3 0.836530552714 0.844244647057 0.84669114341 0.845711893508 0.842515920354 0.83790846041
4 0.868060309877 0.882869529666 0.888391871013 0.8876497881 0.882925266879 0.87579368919
5 0.883184507478 0.905546974106 0.915090123928 0.915126718512 0.909203127451 0.899867583843
6 0.890186754961 0.918816817615 0.932954878045 0.93423696303 0.927469185991 0.916322055468
7 0.893497915257 0.926367883978 0.945167625714 0.948070830142 0.940786644802 0.928202291429
8 0.895107299013 0.930586306208 0.953561862275 0.958370484677 0.950851582823 0.937153276691
9 0.895900762093 0.932971284418 0.959289582784 0.966195672443 0.958674220827 0.944128488302
10 0.8962947254 0.934349948245 0.963134454882 0.972229202041 0.964891097143 0.949713071175
