#depth alpha=0.5 alpha=0.6 alpha=0.7 alpha=0.8 alpha=0.9 alpha=1.0
1 0.63243 0.63263 0.63163 0.63314 0.6336 0.6318
2 0.773067730677 0.77519 0.776847768478 0.775567755678 0.773997739977 0.77323
3 0.837816756335 0.844098440984 0.847248472485 0.845526910538 0.843318433184 0.836858368584
4 0.867077341547 0.882737654753 0.888447768955 0.887808878089 0.882768827688 0.87593
5 0.883696510895 0.904888097762 0.914617438523 0.915357460724 0.908837265118 0.89896
6 0.891056731702 0.919516780671 0.933259332593 0.934628038841 0.927558551171 0.916666666667
7 0.89389575583 0.926596329816 0.945688370651 0.947867914717 0.941288238647 0.928256412821
8 0.895057901158 0.930336516826 0.953728149126 0.958717935897 0.950398015921 0.93655
9 0.894954747737 0.932837313493 0.959608384335 0.966088304415 0.958517925896 0.944329443294
10 0.895846875406 0.934646732337 0.96221848874 0.9721183271 0.964778943368 0.94991
