#n_pkts	hh_are	hh_f1score	n_exports
500000	0.0026313177367	0.998889300259	41794
1000000	0.0152666224331	0.993513925982	56986
1500000	0.0345667154202	0.985102507822	66508
2000000	0.0629484136122	0.971707542093	72956
2500000	0.0938132380476	0.956625864822	78016
3000000	0.12196563552	0.94259076056	81836
3500000	0.149659865703	0.928170100253	84954
4000000	0.178027693006	0.912890565268	87836
4500000	0.200953094922	0.900286259542	90262
5000000	0.226074657759	0.88571879296	92292
5500000	0.247354397965	0.873237631377	94242
6000000	0.268676208489	0.860176486173	95898
6500000	0.289331012205	0.847221951742	97534
7000000	0.308016479997	0.835402797517	98996
7500000	0.325823298699	0.823831683346	100386
8000000	0.341463335735	0.813242135963	101614
8500000	0.357256707622	0.802318158911	102676
9000000	0.371871110014	0.792096582877	103762
9500000	0.385013474041	0.782718305865	104764
10000000	0.398104063675	0.773374092472	105802
10500000	0.410117207548	0.764518813529	106710
11000000	0.421989634835	0.75562761476	107542
11500000	0.433768031184	0.746658386145	108322
12000000	0.445213547473	0.737809829207	109090
12500000	0.458557009354	0.727153505426	109900
13000000	0.470568982374	0.717343943644	110594
13500000	0.480638723286	0.709186599212	111292
14000000	0.489805686279	0.701782820097	111958
14500000	0.498242695751	0.694784658029	112598
15000000	0.506574902598	0.687605522494	113148
15500000	0.514905733609	0.680506602754	113674
16000000	0.522525985445	0.673879942786	114200
16500000	0.529461425828	0.667739413238	114710
17000000	0.535867633294	0.662072650762	115288
17500000	0.542225227296	0.656410144102	115796
18000000	0.548462630458	0.650848773754	116226
18500000	0.554566199027	0.645154439949	116646
19000000	0.56089835203	0.63933757802	117052
19500000	0.566158717252	0.634473093015	117498
20000000	0.57214601927	0.628936688312	117934
