#n_pkts	hh_are	hh_f1score	n_exports
500000	0.151960050727	0.934734077479	84622
1000000	0.249864664791	0.890664423886	165023
1500000	0.278624670099	0.885641025641	249292
2000000	0.299302298425	0.880893611681	334681
2500000	0.320771322843	0.872263167356	422449
3000000	0.331713321252	0.870147341448	510201
3500000	0.342057713944	0.866050875608	595002
4000000	0.35274140073	0.861239420073	684066
4500000	0.360274366317	0.858084336752	770945
5000000	0.371236379093	0.851279429196	853148
5500000	0.378795830136	0.846561078054	940944
6000000	0.386377550887	0.842153227978	1029797
6500000	0.394221561881	0.837185534591	1118158
7000000	0.401392670685	0.832332858108	1203845
7500000	0.408813020066	0.827518233787	1293862
8000000	0.414004716812	0.824169205087	1379667
8500000	0.419013103835	0.820909105952	1463762
9000000	0.423605327208	0.817577030812	1549441
9500000	0.42782494973	0.814786386454	1635173
10000000	0.431637758206	0.811751807515	1722146
10500000	0.43520248979	0.809314989968	1811143
11000000	0.43901175154	0.806518386797	1899238
11500000	0.443736857169	0.802692821391	1984567
12000000	0.448144517197	0.799570433234	2071679
12500000	0.452783285037	0.795865633075	2160272
13000000	0.457969753041	0.791717897015	2249691
13500000	0.461897924912	0.788864829946	2334943
14000000	0.46379948424	0.787661339173	2420436
14500000	0.466513985341	0.785581120407	2507852
15000000	0.468590321018	0.783911899555	2593698
15500000	0.470530303634	0.782506833268	2675340
16000000	0.473233245476	0.78040185537	2760064
16500000	0.475284550113	0.778785894678	2840767
17000000	0.476460682774	0.777955255313	2924945
17500000	0.478469587735	0.776278763446	3008301
18000000	0.480511193714	0.774907893705	3092485
18500000	0.482410702343	0.773207380187	3171792
19000000	0.484174295645	0.77146985767	3254039
19500000	0.485567987074	0.770578843798	3335389
20000000	0.487360713406	0.769331693317	3418255
