#n_pkts	tf.hh_are	tf.hh_f1score
500000	0.34480982318	0.826920462271
1000000	0.437643690898	0.774827010913
1500000	0.483717274414	0.746123676563
2000000	0.513483455621	0.725362271326
2500000	0.536783048848	0.708395347555
3000000	0.554948572004	0.693842420475
3500000	0.567301171004	0.683939364968
4000000	0.579766189371	0.672595971114
4500000	0.588949889346	0.664367023111
5000000	0.596154075642	0.657908372727
5500000	0.60239795731	0.6526963744
6000000	0.60883496681	0.647135523896
6500000	0.613696902301	0.642699569054
7000000	0.617093745301	0.639677333783
7500000	0.620503897362	0.636697997548
8000000	0.624468159224	0.632921474083
8500000	0.627936587976	0.629544021853
9000000	0.630462357627	0.627304539337
9500000	0.632673611126	0.625074727246
10000000	0.635789526221	0.621975990964
10500000	0.638018254327	0.620069677475
11000000	0.640194456647	0.618108215742
11500000	0.641998629785	0.616431642848
12000000	0.644098161535	0.614425102772
12500000	0.645778836091	0.612952747519
13000000	0.647228491354	0.611713204227
13500000	0.648999835661	0.610002781794
14000000	0.650591004699	0.608560969679
14500000	0.651793015523	0.607497069187
15000000	0.65329105624	0.606187571543
15500000	0.654362194948	0.604980577518
16000000	0.655776896396	0.603652146549
16500000	0.657146843734	0.602329161988
17000000	0.658160123758	0.601278356672
17500000	0.659615515021	0.599823649144
18000000	0.66090902651	0.598351789577
18500000	0.662572293136	0.596626175897
19000000	0.664174929879	0.594864333665
19500000	0.665746604696	0.593067786299
20000000	0.667031655265	0.591700903262
