n_pkts	HashFlow	DHashFlow	CHashFlow
500000	0.00541109848868	6.36942675159e-06	0.0
700000	0.0117486739844	0.000248954547231	0.0
900000	0.01773319141	0.000220687862764	2.01249356002e-06
1100000	0.0269922915907	0.000310065735423	1.06476628053e-05
1300000	0.0338532416013	0.000811640003354	8.75093777444e-05
1500000	0.0429757807945	0.00115746724344	0.000500837487918
1700000	0.0495961889742	0.00184281519941	0.000553393536225
1900000	0.0561830629379	0.00271412204997	0.000937466159
2100000	0.0630668413045	0.0040125294945	0.00175381872331
2300000	0.0714673015867	0.00546128058242	0.00287060790051
2500000	0.0781661645759	0.00691109386716	0.00382536012171
