n_pkts	HashFlow	DHashFlow	CHashFlow
500000	0.99808581911	1.0	1.0
700000	0.99546605429	0.999882739212	1.0
900000	0.993193971804	0.999903390977	1.0
1100000	0.988788578627	0.999875265062	1.0
1300000	0.985511542595	0.999633780122	0.999963390079
1500000	0.980638304938	0.999508985564	0.99977091992
1700000	0.97665122195	0.99919487103	0.999761578351
1900000	0.972802059433	0.998788879714	0.9995874474
2100000	0.968739460918	0.998215105309	0.999235824545
2300000	0.962790472032	0.997594035113	0.99871508114
2500000	0.958174383809	0.996927493328	0.99829787234
