#fingerprint	count
2095901343	8
-730556486	17
1331065770	14
1558353990	24
-1734388321	14
-2025869095	10
-2086821210	190
-845897804	40
-1973639944	12
-1937386587	11
-436962907	63
-1238305501	13
-369507115	134
-1378158773	25
-1138034403	8
-1135152490	53
2092654573	75
1013041128	8
-1413867084	7
-199586787	6
785559707	7
1535464749	12
-581494485	80
2043230776	14
-150392529	6
-1690270873	97
-1761805326	10
-2012152738	8
939749198	10
-1005377147	182
-901808965	16
-947276734	31
-540277691	8
-465579750	13
-888736950	37
-1228976733	10
-441097494	6
-892073649	18
975842535	81
411634769	9
-1326598075	13
1961460927	12
1103999120	24
-1276929864	19
-364103471	12
-107694435	6
395622794	9
-2071438763	73
1974125222	75
-79486874	23
2041974065	7
-191704487	144
47142133	7
846226473	8
-1024186729	137
-1196130024	6
1793903527	14
1381416336	45
1398340702	8
12751727	9
-219700076	10
-1064199738	10
972037624	39
105869767	122
1186987461	9
1231637690	8
264961449	13
-665707324	20
-1116021146	1831
1168787337	62
871466863	23
-643434192	18
1245692619	8
193706772	6
1221663846	9
-481855816	8
11227370	59
30306661	14
1398989116	43
-923619502	8
-731506307	35
1075155235	7
-1354818358	18
-1244962100	45
1359086369	12
1264646655	8
699569728	49
463903043	14
1040849670	10
39060163	9
766781591	66
-1915353290	56
-1790986010	7
1500659618	79
-766575781	12
825707983	68
-2138340384	7
-1068695144	24
1212301145	76
1349504300	42
-1090344776	14
442634141	215
1438655976	15
-1797052837	89
-118023045	138
-2033347093	3138
43985703	108
-1966146870	26
-1797978780	9
1190310931	91
-2091646258	9
1419356639	13
-330241833	25
-845631753	16
1954914697	177
-742545772	9
358735562	14
805832997	41
-395453924	1843
1481746485	20
-458872717	10
-1415085840	26
-1726944092	662
633540401	6
-1501990877	10
-1518872062	7
-560205444	6
765084708	13
623299256	32
-839813434	7
1664126020	9
2069337947	54
2073640785	54
-1422895404	11
-1215628247	9
-1712009638	51
-2024746685	20
1038972411	11
-366199208	13
2102722570	7
1120590351	105
-766860614	27
-204833215	383
1385820710	50
-965268544	12
-1187017379	8
-745582806	8
989896806	6
-1012330396	8
903603384	50
214455380	7
-785861288	8
314466613	14
-532882923	9
-413006596	42
-1481307643	6
-946710695	139
504955995	442
-148990191	24
-1408256723	22
132777274	41
410465020	12
-839914741	12
-719726433	31
1359210111	162
968752914	39
668212611	9
-2082606174	244
-1681157186	978
1294373922	71
-553116750	9
-1315564483	2781
-1486662239	100
-1624617784	7
1079407581	9
2128449752	210
2044603702	25
-1616104544	7
1231480826	14
-161300596	37
291742707	8
1558951694	8
605788500	15
-2122545406	9
-1679965498	12
1549447437	123
-1900143025	8
-1362360420	9
-966503365	20
-169204652	76
454226801	47
1006481108	24
-517371818	9
164965694	52
1188570624	10
849225745	371
-338359581	12
850379484	19
1862768516	160
1377745256	142
1924804225	25
-800872677	16
-1606237572	52
1240517566	17
-1146551478	7
175533004	8
-1329997330	10
-632702390	9
792264606	21
-219538051	10
1703479802	9
-1096460536	10
-763158627	10
634773266	39
50326056	143
1081854428	6
2022586448	68
1384309782	13
1907180703	108
379641889	15
1827775703	36
1222583674	8
-1275334764	208
-1255478284	238
2016792547	6
22835636	7
-2041673566	15
653224837	10
2032371819	7
-752345670	9
896581392	25
966974346	104
-761191237	40
571996655	8
1878231068	32
978836253	33
-1836809234	31
-716674911	56
485345901	10
-607871515	67
1030614348	347
-2115562188	20
1798704307	17
971404980	22
129310146	11
-223432921	11
-1243015176	74
-1628817165	649
1573412	10
-977353002	20
1278863328	9
661794408	66
-359424599	6
400186899	13
1600448515	8
1988030153	31
1290708290	16
1167707075	68
-271579283	7
166241172	7
349182665	8
506876397	75
1190935017	14
-378746794	45
271981071	30
475643548	30
-1945969838	7
14481658	6
-182956118	107
-1813217691	10
1244095677	6
555591959	10
1492809353	26
-500047543	10
61011928	107
964312965	12
-423292246	15
1473785169	28
-1776690123	57
1092282330	6
-40563327	6
-412487284	18
88811763	7
-1616894093	11
-977976958	29
1634473064	24
-1298977927	20
2034677384	10
-1613248582	318
-891573619	20
-97619427	62
-1882052606	11
-1727298112	222
451099978	6
1588199997	8
-12512189	57
196500724	145
-1501335477	43
-1866600698	104
34527645	32
1417455609	35
296334666	39
-1069109955	7
-1385733608	7
1655278336	50
-642711393	8
1035785664	6
940776130	256
-1339006785	14
-675378931	8
-1885530064	13
-1563284110	7
-109221785	807
1574246473	17
-752603982	11
-263882286	8
625119782	55
1654756153	890
-1185498683	6
-337137190	67
1915832560	12
919191951	33
1129221483	7
-935756167	8
-995721395	6
1030910676	17
373014257	55
-1642226444	6
2108242114	9
1282797096	6
1797348475	9
743330334	25
1159533323	6
-779516607	11
-1471089503	10
555397783	9
-1637028025	177
-403142930	739
1893484519	77
1526908954	11
-798723546	17
-1391877983	6
-688401638	68
-447479974	6
-1780013700	8
873593121	8
-1994209526	6
2067556661	9
-1510034302	322
-1121725798	30
-229954836	9
-1949534802	11
1602352563	12
555749422	9
1087216782	8
-1281458599	43
1271777158	6
1074681809	13
-1610018948	84
-258002277	124
-444248914	66
1261189437	76
752709648	21
1132913182	1905
25877343	12
-710013203	9
-81859506	9
1171987835	48
-1585035603	38
-1277488862	11
-508447708	6
1497616961	10
-1333145049	14
-1089068293	10
-994514595	32
60124672	190
-1999711921	16
1963665344	71
-2143057322	37
936869699	17
226214867	12
-1120710865	23
-921886830	10
77209526	10
-753407656	8
332750970	162
-2084237945	21
1662943662	45
-25312965	9
1593283638	8
967775196	1504
609414412	6
1356736977	85
2070991814	267
63600282	18
-1297894910	26
1331995546	11
235130740	51
-821804788	82
-206930343	35
1435347787	11
-1516782782	13
200476367	8
-162094217	8
1928001652	40
-238245453	154
2095529419	6
-1395890637	19
121484574	3008
1192531361	80
1461484697	11
-625267940	18
2133320421	422
1106711161	8
-925800258	66
-1516506074	13
2035683984	183
-999911119	15
-291874850	11
-761902940	7
-1698887112	11
919584598	14
1648231205	373
1502864119	66
-1967554456	29
-2078299152	19
-1429301857	19
1662378117	10
-849287302	27
216742246	9
-935035033	12
-898636536	6
-1393098496	53
296590255	15
-717741707	30
-1841389586	7
1905376691	7
-459829238	8
1059402362	13
1806002842	24
822702075	8
-1113571751	9
-356922914	13
-591850146	77
-1797640806	7
-1517253874	9
-928390256	48
-1493693269	7
-1093950223	288
-481212232	9
-1139302460	14
1798079275	47
-608055903	10
829102032	34
-2030390215	8
-1926598295	9
-1302879709	18
-1667172421	31
-81267644	12
1043487525	11
-576130344	8
-888249828	10
-1458154515	8
901069517	12
1377173891	11
52416575	8
590777980	15
1121295315	9
398156365	14
-925292952	11
1736172553	9
-130000713	6
438093050	12
-1394495393	8
1062218398	6
1476994033	7
-367996419	8
-204224816	8
-828284264	92
-323997508	7
1402288723	20
1439553738	6
1951634210	6
414139611	10
1177527028	6
1147230653	11
1477466543	48
-726765294	7
1451286580	28
-292314236	34
-1036352404	12
-1634087030	328
1347113412	31
1152767176	11
1666130264	42
-923126346	111
-143272581	53
-54375061	55
-1280093921	42
-713600938	9
-370210897	33
232413160	2055
-1162972713	12
-968870710	46
-683792610	15
-677098966	7
2142107111	39
311127791	43
-679496670	42
476399835	79
826217491	15
-1546627063	11
-615315924	1547
-671787747	21
1023575646	13
-1366436790	6
-1101327373	7
-1399644467	7
1313903402	9
1277413333	12
-322738083	10
-152766638	9
1556672835	11
-947958869	9
1937601968	38
-115019907	87
1736778639	28
-231937124	7
-273503149	14
-1766122225	36
-180962804	99
741466850	14
-199374668	12
426462580	18
-1409662589	7
439657341	9
-189626680	6
-414954228	89
-1576122578	10
902289459	38
201758891	7
-1120654301	7
684111886	11
980480024	7
-1472683654	3410
-1700280838	10
732419458	67
1609709628	13
-1825710205	11
-87225258	275
-1145497618	10
508860209	6
354660141	15
-1531112738	6
41699539	13
-1717935340	9
1218922580	109
1702409067	24
1757353803	7
1950942387	4349
512772373	26
1320771962	11
-505292515	8
-940215168	10
-1917457156	19
553102014	28
1670761929	8
272082078	9
-1251232778	10
-1804044592	11
283837034	9
-459645555	19
1729961995	30
1865358206	18
-727608639	11
-1729912422	11
2057513334	10
518315379	1870
-2001361052	21
-42061924	6
215016227	121
278922393	69
-250883201	18
621166715	18
-1076025460	8
-1035012051	379
-21701948	15
834441045	24
-1343488405	18
-865009856	7
-1639962524	6
-2024903883	9
-1277717849	10
1938851800	14
2048175485	20
1783440041	13
-2053923575	42
802361543	13
-2114860918	16
-554306452	8
-1714956758	8
-703536776	17
1157876208	12
-436243375	9
-1297533479	9
1445788715	77
-967299146	25
565850897	29
-1464139796	75
-129420597	8
340260746	15
121173531	141
-1699795291	9
1932100562	11
781012641	58
1164865829	6
51297655	138
-1405848817	11
713970815	25
-1029143822	7
-145358072	12
-1257078803	76
1641508724	10
271241318	16
1724911571	25
1239856134	6
-1014209271	6
588451168	7
-1423454989	7
1391132260	10
162661836	9
1594867620	16
-955972794	12
1274514131	57
-968404424	11
1782276500	7
2145484266	8
-181403596	34
57174340	8
1932364067	8
-853675533	63
788022151	7
1726691999	24
526445016	10
1210319133	11
-2075661562	9
-424146483	16
-894382780	230
-965371184	7
-1535986902	33
-189848265	6
1958579246	20
1586014833	217
1062246660	52
-664411058	125
22886181	8
-1194830900	194
-467671369	6
-1371824972	56
-2109679159	10
-839969844	15
1068994178	8
1555347111	132
206594118	7
-1075811232	72
905584855	202
1730442216	7
-889316742	12
-1350019676	639
1907146946	11
1679637672	10
-249170294	12
-631651661	343
-1179737265	9
2107915790	8
14243569	7
1127852144	9
-1595379632	9
-1316134412	7
1543184153	7
-1601721437	8
1448866384	710
-143710616	12
1503366164	12
1514167657	6
2083223363	62
-83302655	19
-1841067102	420
-878469080	16
-169599059	12
973998576	11
1844754537	9
1440765459	10
2003587203	6
1502569694	12
554229975	143
1340431449	28
917323983	22
387946915	10
415181990	8
-2021139582	84
153611427	37
-1004662006	8
-1430352446	16
1149568618	82
-416715735	14
827745747	12
1941005555	10
716636114	28
1645852954	91
-1001436104	78
1096290792	8
-2143522566	65
209802256	8
-970285155	350
-1191500461	9
1848567885	31
245297949	9
1436749437	12
-1369371665	9
-1973092543	10
1194907264	10
-1050619358	72
429565982	60
-1185502274	26
100913074	30
324866071	10
-267929298	259
-1605208936	7
647048324	6
897509978	71
1071704442	6
-1264605963	9
1622097063	22
-1524312217	2902
1879807108	9
-1893074370	48
1651118233	53
-1782073846	22
-1442707947	6
-567908322	13
1469353284	28
-1347120670	11
-1165834657	15
-812980798	42
1137068289	20
389122503	9
829104237	7
-825833135	13
-836970556	19
915934572	15
-195793989	131
-709557706	116
-944489643	12
25536561	7
1724155636	11
832464167	18
1481363955	674
106494685	8
-2133717445	11
358314272	7
875484097	8
-1478622573	8
1174693972	11
502966315	6
-1400224732	12
-995975514	10
-1821433429	8
443360572	8
-1767194415	66
-678190122	7
-423649125	17
1061559396	16
503845045	57
1989765143	9
1622550076	10
433575610	18
1001118217	7
-684976269	6
-1742036915	141
1671791971	45
1303001399	7
1616852210	6
-947140910	11
-1648119255	46
1484028983	8
-734375902	31
-533050472	7
129609138	10
-2043115650	430
-2003605200	9
-1841332851	13
832607075	18
-751880218	6
-112473361	16
665600180	48
-516637860	9
-1253434985	35
1126121433	6
-608297239	9
-1737946047	56
-421582255	43
-643606463	607
-1864751458	31
419721827	17
622019826	10
460861619	13
785246297	7
-956129330	18
-411744264	15
-1292666367	115
-420677680	6
-194064680	13
1093588615	50
-941328756	20
-101669106	7
1787076673	339
1270671234	37
-449538859	7
-551650821	63
-1075401114	21
-425002359	17
-555565988	13
-1629531430	10
1230031535	152
1369166319	9
-814593944	8
-567919366	59
1859326915	10
-762300329	6
26182994	57
-355293904	9
-618256556	135
-1459119618	14
-828352016	909
-1917210442	26
-1944603214	7
-953062946	7
-1147515390	8
-35879649	10
1193922436	8
-474173038	12
524947104	9
-1200145510	6
-975198402	6
-409503149	6
-746191728	19
920197886	22
-92282886	8
-898805054	49
801723216	9
634779770	27
-1488990770	48
-661127690	109
754526604	34
871935998	76
-406938843	15
-1362481669	11
-142483838	108
1637527284	12
-1251973260	7
1493798270	22
592748535	16
1822540954	19
538363828	6
1144455921	10
-1298540343	13
924325075	12
486453900	81
1042778260	8
345173559	9
-1298251498	87
369226937	13
-309883884	13
-1794487606	13
-1547598711	13
