#filename 1_hash 2_hashes 3_hashs 4_hashs
example1 0.632239392684 0.76148037606 0.822924649226 0.85898278374
example2 0.632269869712 0.761819978394 0.82323912421 0.85938645662
example3 0.632174481653 0.761514454289 0.822901242187 0.858861296825
example4 0.632106265384 0.76157180306 0.823087794082 0.859322403246
example5 0.632056397426 0.761642019753 0.823124254798 0.859234698508
example6 0.631920864473 0.761513875265 0.823032528628 0.859104615055
example7 0.632314482874 0.761458999265 0.822846527089 0.859013423752
example8 0.632157944302 0.761821068209 0.823261939997 0.859385712364
example9 0.632149074355 0.761557754118 0.822928370855 0.859023080092
example10 0.632078887734 0.761575775633 0.822968000383 0.859122522389
