n_pkts	CAIDA-AHashFlow	HGC-AHashFlow	CAIDA-CHashFlow	HGC-CHashFlow
500000	0.953041210608	0.781893682573	0.987897597884	0.896907747633
1000000	0.832155477032	0.589599955776	0.928383335959	0.716480249621
1500000	0.722277239878	0.497173385226	0.841737393909	0.607864070235
2000000	0.647770056442	0.438789847599	0.767981468794	0.538157748159
2500000	0.591361873208	0.397580127771	0.707545168187	0.48739913434
3000000	0.547225908714	0.366887279441	0.659413527417	0.44809445174
3500000	0.510647814527	0.34349365696	0.6191967133	0.416362407032
4000000	0.479978847249	0.324506232102	0.58402301656	0.389208904644
4500000	0.454360394924	0.309650988206	0.554647465994	0.366052142462
5000000	0.434272278683	0.297637336622	0.531495661052	0.345929549302
